c  Bad case for Goldberg
c 5000 vertices
p max 15003 20001
n 1 s
n 15003 t
a 1 2 5000
a 2 5002 5000
a 2 5001 5000
a 2 5000 5000
a 2 4999 5000
a 2 4998 5000
a 2 4997 5000
a 2 4996 5000
a 2 4995 5000
a 2 4994 5000
a 2 4993 5000
a 2 4992 5000
a 2 4991 5000
a 2 4990 5000
a 2 4989 5000
a 2 4988 5000
a 2 4987 5000
a 2 4986 5000
a 2 4985 5000
a 2 4984 5000
a 2 4983 5000
a 2 4982 5000
a 2 4981 5000
a 2 4980 5000
a 2 4979 5000
a 2 4978 5000
a 2 4977 5000
a 2 4976 5000
a 2 4975 5000
a 2 4974 5000
a 2 4973 5000
a 2 4972 5000
a 2 4971 5000
a 2 4970 5000
a 2 4969 5000
a 2 4968 5000
a 2 4967 5000
a 2 4966 5000
a 2 4965 5000
a 2 4964 5000
a 2 4963 5000
a 2 4962 5000
a 2 4961 5000
a 2 4960 5000
a 2 4959 5000
a 2 4958 5000
a 2 4957 5000
a 2 4956 5000
a 2 4955 5000
a 2 4954 5000
a 2 4953 5000
a 2 4952 5000
a 2 4951 5000
a 2 4950 5000
a 2 4949 5000
a 2 4948 5000
a 2 4947 5000
a 2 4946 5000
a 2 4945 5000
a 2 4944 5000
a 2 4943 5000
a 2 4942 5000
a 2 4941 5000
a 2 4940 5000
a 2 4939 5000
a 2 4938 5000
a 2 4937 5000
a 2 4936 5000
a 2 4935 5000
a 2 4934 5000
a 2 4933 5000
a 2 4932 5000
a 2 4931 5000
a 2 4930 5000
a 2 4929 5000
a 2 4928 5000
a 2 4927 5000
a 2 4926 5000
a 2 4925 5000
a 2 4924 5000
a 2 4923 5000
a 2 4922 5000
a 2 4921 5000
a 2 4920 5000
a 2 4919 5000
a 2 4918 5000
a 2 4917 5000
a 2 4916 5000
a 2 4915 5000
a 2 4914 5000
a 2 4913 5000
a 2 4912 5000
a 2 4911 5000
a 2 4910 5000
a 2 4909 5000
a 2 4908 5000
a 2 4907 5000
a 2 4906 5000
a 2 4905 5000
a 2 4904 5000
a 2 4903 5000
a 2 4902 5000
a 2 4901 5000
a 2 4900 5000
a 2 4899 5000
a 2 4898 5000
a 2 4897 5000
a 2 4896 5000
a 2 4895 5000
a 2 4894 5000
a 2 4893 5000
a 2 4892 5000
a 2 4891 5000
a 2 4890 5000
a 2 4889 5000
a 2 4888 5000
a 2 4887 5000
a 2 4886 5000
a 2 4885 5000
a 2 4884 5000
a 2 4883 5000
a 2 4882 5000
a 2 4881 5000
a 2 4880 5000
a 2 4879 5000
a 2 4878 5000
a 2 4877 5000
a 2 4876 5000
a 2 4875 5000
a 2 4874 5000
a 2 4873 5000
a 2 4872 5000
a 2 4871 5000
a 2 4870 5000
a 2 4869 5000
a 2 4868 5000
a 2 4867 5000
a 2 4866 5000
a 2 4865 5000
a 2 4864 5000
a 2 4863 5000
a 2 4862 5000
a 2 4861 5000
a 2 4860 5000
a 2 4859 5000
a 2 4858 5000
a 2 4857 5000
a 2 4856 5000
a 2 4855 5000
a 2 4854 5000
a 2 4853 5000
a 2 4852 5000
a 2 4851 5000
a 2 4850 5000
a 2 4849 5000
a 2 4848 5000
a 2 4847 5000
a 2 4846 5000
a 2 4845 5000
a 2 4844 5000
a 2 4843 5000
a 2 4842 5000
a 2 4841 5000
a 2 4840 5000
a 2 4839 5000
a 2 4838 5000
a 2 4837 5000
a 2 4836 5000
a 2 4835 5000
a 2 4834 5000
a 2 4833 5000
a 2 4832 5000
a 2 4831 5000
a 2 4830 5000
a 2 4829 5000
a 2 4828 5000
a 2 4827 5000
a 2 4826 5000
a 2 4825 5000
a 2 4824 5000
a 2 4823 5000
a 2 4822 5000
a 2 4821 5000
a 2 4820 5000
a 2 4819 5000
a 2 4818 5000
a 2 4817 5000
a 2 4816 5000
a 2 4815 5000
a 2 4814 5000
a 2 4813 5000
a 2 4812 5000
a 2 4811 5000
a 2 4810 5000
a 2 4809 5000
a 2 4808 5000
a 2 4807 5000
a 2 4806 5000
a 2 4805 5000
a 2 4804 5000
a 2 4803 5000
a 2 4802 5000
a 2 4801 5000
a 2 4800 5000
a 2 4799 5000
a 2 4798 5000
a 2 4797 5000
a 2 4796 5000
a 2 4795 5000
a 2 4794 5000
a 2 4793 5000
a 2 4792 5000
a 2 4791 5000
a 2 4790 5000
a 2 4789 5000
a 2 4788 5000
a 2 4787 5000
a 2 4786 5000
a 2 4785 5000
a 2 4784 5000
a 2 4783 5000
a 2 4782 5000
a 2 4781 5000
a 2 4780 5000
a 2 4779 5000
a 2 4778 5000
a 2 4777 5000
a 2 4776 5000
a 2 4775 5000
a 2 4774 5000
a 2 4773 5000
a 2 4772 5000
a 2 4771 5000
a 2 4770 5000
a 2 4769 5000
a 2 4768 5000
a 2 4767 5000
a 2 4766 5000
a 2 4765 5000
a 2 4764 5000
a 2 4763 5000
a 2 4762 5000
a 2 4761 5000
a 2 4760 5000
a 2 4759 5000
a 2 4758 5000
a 2 4757 5000
a 2 4756 5000
a 2 4755 5000
a 2 4754 5000
a 2 4753 5000
a 2 4752 5000
a 2 4751 5000
a 2 4750 5000
a 2 4749 5000
a 2 4748 5000
a 2 4747 5000
a 2 4746 5000
a 2 4745 5000
a 2 4744 5000
a 2 4743 5000
a 2 4742 5000
a 2 4741 5000
a 2 4740 5000
a 2 4739 5000
a 2 4738 5000
a 2 4737 5000
a 2 4736 5000
a 2 4735 5000
a 2 4734 5000
a 2 4733 5000
a 2 4732 5000
a 2 4731 5000
a 2 4730 5000
a 2 4729 5000
a 2 4728 5000
a 2 4727 5000
a 2 4726 5000
a 2 4725 5000
a 2 4724 5000
a 2 4723 5000
a 2 4722 5000
a 2 4721 5000
a 2 4720 5000
a 2 4719 5000
a 2 4718 5000
a 2 4717 5000
a 2 4716 5000
a 2 4715 5000
a 2 4714 5000
a 2 4713 5000
a 2 4712 5000
a 2 4711 5000
a 2 4710 5000
a 2 4709 5000
a 2 4708 5000
a 2 4707 5000
a 2 4706 5000
a 2 4705 5000
a 2 4704 5000
a 2 4703 5000
a 2 4702 5000
a 2 4701 5000
a 2 4700 5000
a 2 4699 5000
a 2 4698 5000
a 2 4697 5000
a 2 4696 5000
a 2 4695 5000
a 2 4694 5000
a 2 4693 5000
a 2 4692 5000
a 2 4691 5000
a 2 4690 5000
a 2 4689 5000
a 2 4688 5000
a 2 4687 5000
a 2 4686 5000
a 2 4685 5000
a 2 4684 5000
a 2 4683 5000
a 2 4682 5000
a 2 4681 5000
a 2 4680 5000
a 2 4679 5000
a 2 4678 5000
a 2 4677 5000
a 2 4676 5000
a 2 4675 5000
a 2 4674 5000
a 2 4673 5000
a 2 4672 5000
a 2 4671 5000
a 2 4670 5000
a 2 4669 5000
a 2 4668 5000
a 2 4667 5000
a 2 4666 5000
a 2 4665 5000
a 2 4664 5000
a 2 4663 5000
a 2 4662 5000
a 2 4661 5000
a 2 4660 5000
a 2 4659 5000
a 2 4658 5000
a 2 4657 5000
a 2 4656 5000
a 2 4655 5000
