c Mesh Graph
c 70 Rows, 50 columns, capacities in range [0, 50]
p max 3502 10430
n 1 s
n 3502 t
a 1 71 150
a 1 70 150
a 1 69 150
a 1 68 150
a 1 67 150
a 1 66 150
a 1 65 150
a 1 64 150
a 1 63 150
a 1 62 150
a 1 61 150
a 1 60 150
a 1 59 150
a 1 58 150
a 1 57 150
a 1 56 150
a 1 55 150
a 1 54 150
a 1 53 150
a 1 52 150
a 1 51 150
a 1 50 150
a 1 49 150
a 1 48 150
a 1 47 150
a 1 46 150
a 1 45 150
a 1 44 150
a 1 43 150
a 1 42 150
a 1 41 150
a 1 40 150
a 1 39 150
a 1 38 150
a 1 37 150
a 1 36 150
a 1 35 150
a 1 34 150
a 1 33 150
a 1 32 150
a 1 31 150
a 1 30 150
a 1 29 150
a 1 28 150
a 1 27 150
a 1 26 150
a 1 25 150
a 1 24 150
a 1 23 150
a 1 22 150
a 1 21 150
a 1 20 150
a 1 19 150
a 1 18 150
a 1 17 150
a 1 16 150
a 1 15 150
a 1 14 150
a 1 13 150
a 1 12 150
a 1 11 150
a 1 10 150
a 1 9 150
a 1 8 150
a 1 7 150
a 1 6 150
a 1 5 150
a 1 4 150
a 1 3 150
a 1 2 150
a 2 73 35
a 2 72 18
a 2 141 42
a 3 74 25
a 3 73 20
a 3 72 1
a 4 75 13
a 4 74 9
a 4 73 29
a 5 76 46
a 5 75 6
a 5 74 15
a 6 77 12
a 6 76 28
a 6 75 32
a 7 78 43
a 7 77 46
a 7 76 42
a 8 79 42
a 8 78 37
a 8 77 28
a 9 80 4
a 9 79 3
a 9 78 5
a 10 81 22
a 10 80 33
a 10 79 43
a 11 82 46
a 11 81 19
a 11 80 17
a 12 83 22
a 12 82 27
a 12 81 48
a 13 84 13
a 13 83 20
a 13 82 39
a 14 85 36
a 14 84 50
a 14 83 18
a 15 86 12
a 15 85 4
a 15 84 45
a 16 87 24
a 16 86 34
a 16 85 23
a 17 88 12
a 17 87 42
a 17 86 15
a 18 89 48
a 18 88 19
a 18 87 4
a 19 90 8
a 19 89 13
a 19 88 45
a 20 91 24
a 20 90 10
a 20 89 38
a 21 92 29
a 21 91 30
a 21 90 42
a 22 93 41
a 22 92 36
a 22 91 17
a 23 94 7
a 23 93 39
a 23 92 43
a 24 95 15
a 24 94 43
a 24 93 41
a 25 96 6
a 25 95 47
a 25 94 49
a 26 97 21
a 26 96 30
a 26 95 41
a 27 98 2
a 27 97 7
a 27 96 1
a 28 99 30
a 28 98 49
a 28 97 44
a 29 100 5
a 29 99 35
a 29 98 24
a 30 101 17
a 30 100 41
a 30 99 7
a 31 102 9
a 31 101 32
a 31 100 27
a 32 103 27
a 32 102 40
a 32 101 45
a 33 104 39
a 33 103 38
a 33 102 24
a 34 105 30
a 34 104 33
a 34 103 19
a 35 106 16
a 35 105 34
a 35 104 42
a 36 107 5
a 36 106 9
a 36 105 40
a 37 108 7
a 37 107 28
a 37 106 31
a 38 109 22
a 38 108 37
a 38 107 24
a 39 110 23
a 39 109 25
a 39 108 46
a 40 111 28
a 40 110 30
a 40 109 21
a 41 112 13
a 41 111 48
a 41 110 24
a 42 113 12
a 42 112 41
a 42 111 37
a 43 114 18
a 43 113 6
a 43 112 37
a 44 115 32
a 44 114 25
a 44 113 6
a 45 116 1
a 45 115 1
a 45 114 3
a 46 117 17
a 46 116 25
a 46 115 42
a 47 118 42
a 47 117 8
a 47 116 31
a 48 119 8
a 48 118 38
a 48 117 8
a 49 120 34
a 49 119 4
a 49 118 38
a 50 121 10
a 50 120 10
a 50 119 46
a 51 122 39
a 51 121 22
a 51 120 9
a 52 123 7
a 52 122 47
a 52 121 23
a 53 124 19
a 53 123 14
a 53 122 31
a 54 125 13
a 54 124 42
a 54 123 1
a 55 126 10
a 55 125 11
a 55 124 6
a 56 127 49
a 56 126 38
a 56 125 25
a 57 128 42
a 57 127 46
a 57 126 34
a 58 129 42
a 58 128 1
a 58 127 3
a 59 130 21
a 59 129 25
a 59 128 37
a 60 131 49
a 60 130 22
a 60 129 47
a 61 132 35
a 61 131 19
a 61 130 50
a 62 133 4
a 62 132 35
a 62 131 32
a 63 134 39
a 63 133 19
a 63 132 50
a 64 135 28
a 64 134 39
a 64 133 1
a 65 136 44
a 65 135 29
a 65 134 18
a 66 137 8
a 66 136 34
a 66 135 49
a 67 138 18
a 67 137 11
a 67 136 22
a 68 139 10
a 68 138 15
a 68 137 14
a 69 140 2
a 69 139 36
a 69 138 17
a 70 141 20
a 70 140 50
a 70 139 1
a 71 72 4
a 71 141 49
a 71 140 7
a 72 143 45
a 72 142 9
a 72 211 25
a 73 144 3
a 73 143 40
a 73 142 10
