c Random Leveled Graph
c 70 Rows, 50 columns, capacities in range [0, 50]
p max 3502 10430
n 1 s
n 3502 t
a 1 71 150
a 1 70 150
a 1 69 150
a 1 68 150
a 1 67 150
a 1 66 150
a 1 65 150
a 1 64 150
a 1 63 150
a 1 62 150
a 1 61 150
a 1 60 150
a 1 59 150
a 1 58 150
a 1 57 150
a 1 56 150
a 1 55 150
a 1 54 150
a 1 53 150
a 1 52 150
a 1 51 150
a 1 50 150
a 1 49 150
a 1 48 150
a 1 47 150
a 1 46 150
a 1 45 150
a 1 44 150
a 1 43 150
a 1 42 150
a 1 41 150
a 1 40 150
a 1 39 150
a 1 38 150
a 1 37 150
a 1 36 150
a 1 35 150
a 1 34 150
a 1 33 150
a 1 32 150
a 1 31 150
a 1 30 150
a 1 29 150
a 1 28 150
a 1 27 150
a 1 26 150
a 1 25 150
a 1 24 150
a 1 23 150
a 1 22 150
a 1 21 150
a 1 20 150
a 1 19 150
a 1 18 150
a 1 17 150
a 1 16 150
a 1 15 150
a 1 14 150
a 1 13 150
a 1 12 150
a 1 11 150
a 1 10 150
a 1 9 150
a 1 8 150
a 1 7 150
a 1 6 150
a 1 5 150
a 1 4 150
a 1 3 150
a 1 2 150
a 2 106 25
a 2 129 20
a 2 113 1
a 3 84 46
a 3 100 6
a 3 140 15
a 4 93 43
a 4 99 46
a 4 113 42
a 5 123 4
a 5 118 3
a 5 139 5
a 6 133 46
a 6 134 19
a 6 84 17
a 7 73 13
a 7 98 20
a 7 129 39
a 8 97 12
a 8 121 4
a 8 119 45
a 9 105 12
a 9 95 42
a 9 104 15
a 10 139 8
a 10 80 13
a 10 115 45
a 11 115 29
a 11 121 30
a 11 89 42
a 12 72 7
a 12 97 39
a 12 138 43
a 13 86 6
a 13 124 47
a 13 82 49
a 14 82 2
a 14 81 7
a 14 72 1
a 15 101 5
a 15 120 35
a 15 105 24
a 16 98 45
a 16 82 9
a 16 138 32
a 17 125 19
a 17 128 39
a 17 101 38
a 18 93 40
a 18 111 16
a 18 124 34
a 19 132 24
a 19 96 7
a 19 120 28
a 20 117 21
a 20 123 23
a 20 128 25
a 21 105 37
a 21 109 13
a 21 91 48
a 22 88 6
a 22 133 18
a 22 132 6
a 23 84 42
a 23 113 1
a 23 106 1
a 24 72 8
a 24 108 42
a 24 96 8
a 25 109 46
a 25 129 34
a 25 139 4
a 26 100 23
a 26 81 39
a 26 91 22
a 27 82 1
a 27 138 19
a 27 98 14
a 28 117 25
a 28 74 10
a 28 113 11
a 29 115 3
a 29 130 42
a 29 99 46
a 30 108 47
a 30 73 21
a 30 132 25
a 31 101 32
a 31 120 35
a 31 83 19
a 32 111 1
a 32 125 39
a 32 116 19
a 33 119 49
a 33 139 44
a 33 80 29
a 34 113 14
a 34 99 18
a 34 85 11
a 35 128 1
a 35 101 2
a 35 136 36
a 36 120 9
a 36 128 25
a 36 141 4
a 37 81 36
a 37 131 46
a 37 106 3
a 38 75 4
a 38 135 15
a 38 85 38
a 39 90 47
a 39 72 31
a 39 100 19
a 40 131 8
a 40 93 10
a 40 100 49
a 41 114 41
a 41 130 30
