c Matching Graph
c 75 vertices, 75 degree
p max 152 5775
n 1 s
n 152 t
a 1 76 1
a 1 75 1
a 1 74 1
a 1 73 1
a 1 72 1
a 1 71 1
a 1 70 1
a 1 69 1
a 1 68 1
a 1 67 1
a 1 66 1
a 1 65 1
a 1 64 1
a 1 63 1
a 1 62 1
a 1 61 1
a 1 60 1
a 1 59 1
a 1 58 1
a 1 57 1
a 1 56 1
a 1 55 1
a 1 54 1
a 1 53 1
a 1 52 1
a 1 51 1
a 1 50 1
a 1 49 1
a 1 48 1
a 1 47 1
a 1 46 1
a 1 45 1
a 1 44 1
a 1 43 1
a 1 42 1
a 1 41 1
a 1 40 1
a 1 39 1
a 1 38 1
a 1 37 1
a 1 36 1
a 1 35 1
a 1 34 1
a 1 33 1
a 1 32 1
a 1 31 1
a 1 30 1
a 1 29 1
a 1 28 1
a 1 27 1
a 1 26 1
a 1 25 1
a 1 24 1
a 1 23 1
a 1 22 1
a 1 21 1
a 1 20 1
a 1 19 1
a 1 18 1
a 1 17 1
a 1 16 1
a 1 15 1
a 1 14 1
a 1 13 1
a 1 12 1
a 1 11 1
a 1 10 1
a 1 9 1
a 1 8 1
a 1 7 1
a 1 6 1
a 1 5 1
a 1 4 1
a 1 3 1
a 1 2 1
a 2 78 1
a 2 106 1
a 2 96 1
a 2 137 1
a 2 109 1
a 2 115 1
a 2 101 1
a 2 77 1
a 2 123 1
a 2 85 1
a 2 136 1
a 2 132 1
a 2 129 1
a 2 88 1
a 2 92 1
a 2 149 1
a 2 122 1
a 2 99 1
a 2 151 1
a 2 90 1
a 2 139 1
a 2 116 1
a 2 135 1
a 2 133 1
a 2 103 1
a 2 86 1
a 2 95 1
a 2 83 1
a 2 127 1
a 2 107 1
a 2 150 1
a 2 141 1
a 2 117 1
a 2 119 1
a 2 142 1
a 2 112 1
a 2 93 1
a 2 105 1
a 2 81 1
a 2 100 1
a 2 89 1
a 2 134 1
a 2 120 1
a 2 125 1
a 2 130 1
a 2 87 1
a 2 146 1
a 2 140 1
a 2 148 1
a 2 128 1
a 2 124 1
a 2 145 1
a 2 98 1
a 2 84 1
a 2 144 1
a 2 79 1
a 2 131 1
a 2 143 1
a 2 113 1
a 2 147 1
a 2 138 1
a 2 104 1
a 2 108 1
a 2 97 1
a 2 82 1
a 2 91 1
a 2 114 1
a 2 110 1
a 2 80 1
a 2 126 1
a 2 121 1
a 2 102 1
a 2 111 1
a 2 94 1
a 2 118 1
a 3 100 1
a 3 122 1
a 3 146 1
a 3 111 1
a 3 117 1
a 3 106 1
a 3 90 1
a 3 113 1
a 3 130 1
a 3 92 1
a 3 128 1
a 3 142 1
a 3 87 1
a 3 144 1
a 3 133 1
a 3 107 1
a 3 77 1
a 3 129 1
a 3 104 1
a 3 94 1
a 3 95 1
a 3 99 1
a 3 141 1
a 3 102 1
a 3 79 1
a 3 110 1
a 3 145 1
a 3 140 1
a 3 101 1
a 3 112 1
a 3 151 1
a 3 150 1
a 3 138 1
a 3 124 1
a 3 96 1
a 3 108 1
a 3 98 1
a 3 135 1
a 3 83 1
a 3 85 1
a 3 89 1
a 3 105 1
a 3 118 1
a 3 78 1
a 3 116 1
a 3 86 1
a 3 82 1
a 3 115 1
a 3 88 1
a 3 149 1
a 3 97 1
a 3 143 1
a 3 114 1
a 3 123 1
a 3 81 1
a 3 125 1
a 3 80 1
a 3 137 1
a 3 147 1
a 3 139 1
a 3 93 1
a 3 126 1
a 3 136 1
a 3 132 1
a 3 127 1
a 3 120 1
a 3 103 1
a 3 91 1
a 3 148 1
a 3 131 1
a 3 121 1
a 3 109 1
a 3 84 1
a 3 134 1
a 3 119 1
a 4 87 1
a 4 109 1
a 4 119 1
a 4 98 1
a 4 124 1
a 4 137 1
a 4 96 1
a 4 130 1
a 4 135 1
a 4 104 1
a 4 111 1
a 4 117 1
a 4 89 1
a 4 77 1
a 4 143 1
a 4 82 1
a 4 88 1
a 4 129 1
a 4 83 1
a 4 141 1
a 4 118 1
a 4 81 1
a 4 133 1
a 4 116 1
a 4 102 1
a 4 138 1
a 4 103 1
a 4 145 1
a 4 107 1
a 4 146 1
a 4 93 1
a 4 84 1
a 4 126 1
a 4 131 1
a 4 113 1
a 4 144 1
a 4 132 1
a 4 151 1
a 4 106 1
a 4 110 1
a 4 94 1
a 4 90 1
a 4 108 1
a 4 101 1
a 4 136 1
a 4 95 1
a 4 105 1
a 4 142 1
a 4 100 1
a 4 128 1
a 4 140 1
a 4 79 1
a 4 99 1
a 4 134 1
a 4 125 1
a 4 78 1
a 4 122 1
a 4 120 1
a 4 85 1
a 4 147 1
a 4 92 1
a 4 112 1
a 4 114 1
a 4 121 1
a 4 80 1
a 4 148 1
a 4 139 1
a 4 97 1
a 4 127 1
a 4 115 1
a 4 91 1
a 4 123 1
a 4 150 1
a 4 86 1
a 4 149 1
a 5 133 1
a 5 137 1
a 5 103 1
a 5 104 1
a 5 121 1
a 5 126 1
a 5 96 1
a 5 112 1
a 5 107 1
a 5 89 1
a 5 88 1
a 5 80 1
a 5 135 1
a 5 149 1
a 5 102 1
a 5 94 1
a 5 99 1
a 5 146 1
a 5 79 1
a 5 97 1
a 5 124 1
a 5 147 1
a 5 81 1
a 5 148 1
a 5 84 1
a 5 109 1
a 5 95 1
a 5 92 1
a 5 114 1
a 5 138 1
a 5 142 1
a 5 91 1
a 5 83 1
a 5 139 1
a 5 128 1
a 5 141 1
a 5 131 1
a 5 119 1
a 5 143 1
a 5 82 1
a 5 113 1
a 5 120 1
a 5 86 1
a 5 127 1
a 5 145 1
a 5 122 1
a 5 130 1
a 5 144 1
a 5 85 1
a 5 98 1
a 5 151 1
a 5 123 1
a 5 77 1
a 5 136 1
a 5 105 1
a 5 140 1
a 5 150 1
a 5 118 1
a 5 110 1
a 5 90 1
a 5 116 1
a 5 108 1
a 5 134 1
a 5 129 1
a 5 115 1
a 5 125 1
a 5 100 1
a 5 87 1
a 5 106 1
a 5 93 1
a 5 78 1
a 5 117 1
a 5 132 1
a 5 101 1
a 5 111 1
a 6 138 1
a 6 90 1
a 6 97 1
a 6 84 1
a 6 114 1
a 6 96 1
a 6 79 1
a 6 83 1
a 6 77 1
a 6 133 1
a 6 111 1
a 6 106 1
a 6 123 1
a 6 115 1
a 6 98 1
a 6 147 1
a 6 107 1
a 6 91 1
a 6 136 1
a 6 134 1
a 6 78 1
a 6 103 1
a 6 122 1
a 6 95 1
a 6 148 1
a 6 119 1
a 6 81 1
a 6 149 1
a 6 86 1
a 6 137 1
a 6 129 1
a 6 120 1
a 6 140 1
a 6 102 1
a 6 151 1
a 6 146 1
a 6 108 1
a 6 82 1
a 6 92 1
a 6 131 1
a 6 118 1
a 6 101 1
a 6 128 1
a 6 150 1
a 6 125 1
a 6 89 1
a 6 143 1
a 6 117 1
a 6 145 1
a 6 124 1
a 6 116 1
a 6 99 1
a 6 85 1
a 6 121 1
a 6 104 1
a 6 130 1
a 6 144 1
a 6 139 1
a 6 126 1
a 6 93 1
a 6 135 1
a 6 94 1
a 6 80 1
a 6 100 1
a 6 132 1
a 6 112 1
a 6 110 1
a 6 113 1
a 6 88 1
a 6 127 1
a 6 142 1
a 6 87 1
a 6 141 1
a 6 105 1
a 6 109 1
a 7 125 1
a 7 106 1
a 7 80 1
a 7 116 1
a 7 118 1
a 7 78 1
a 7 85 1
a 7 110 1
a 7 143 1
a 7 141 1
a 7 102 1
a 7 84 1
a 7 119 1
a 7 79 1
a 7 113 1
a 7 114 1
a 7 104 1
a 7 96 1
a 7 139 1
a 7 144 1
a 7 132 1
a 7 140 1
a 7 88 1
a 7 87 1
a 7 92 1
a 7 94 1
a 7 121 1
a 7 136 1
a 7 111 1
a 7 81 1
a 7 146 1
a 7 122 1
a 7 135 1
a 7 97 1
a 7 91 1
a 7 98 1
a 7 117 1
a 7 149 1
a 7 131 1
a 7 142 1
a 7 120 1
a 7 112 1
a 7 89 1
a 7 127 1
a 7 147 1
a 7 150 1
a 7 93 1
a 7 115 1
a 7 101 1
a 7 138 1
a 7 103 1
a 7 77 1
a 7 107 1
a 7 109 1
a 7 130 1
a 7 90 1
a 7 145 1
a 7 105 1
a 7 151 1
a 7 100 1
a 7 86 1
a 7 128 1
a 7 137 1
a 7 95 1
a 7 126 1
a 7 124 1
a 7 108 1
a 7 123 1
a 7 148 1
a 7 129 1
a 7 133 1
a 7 99 1
a 7 82 1
a 7 134 1
a 7 83 1
a 8 148 1
a 8 150 1
a 8 112 1
a 8 146 1
a 8 138 1
a 8 123 1
a 8 144 1
a 8 129 1
a 8 90 1
a 8 94 1
a 8 97 1
a 8 99 1
a 8 137 1
a 8 77 1
a 8 93 1
a 8 84 1
a 8 79 1
a 8 151 1
a 8 133 1
a 8 80 1
a 8 117 1
a 8 85 1
a 8 125 1
a 8 145 1
a 8 141 1
a 8 103 1
a 8 142 1
a 8 116 1
a 8 124 1
a 8 81 1
a 8 128 1
a 8 118 1
a 8 92 1
a 8 78 1
a 8 147 1
a 8 89 1
a 8 104 1
a 8 105 1
a 8 139 1
a 8 120 1
a 8 88 1
a 8 119 1
a 8 135 1
a 8 131 1
a 8 106 1
a 8 134 1
a 8 96 1
a 8 109 1
a 8 86 1
a 8 83 1
a 8 113 1
a 8 136 1
a 8 95 1
a 8 101 1
a 8 111 1
a 8 149 1
a 8 87 1
a 8 140 1
a 8 115 1
a 8 91 1
a 8 127 1
a 8 143 1
a 8 132 1
a 8 122 1
a 8 114 1
a 8 98 1
a 8 107 1
a 8 121 1
a 8 100 1
a 8 110 1
a 8 82 1
a 8 108 1
a 8 126 1
a 8 130 1
a 8 102 1
a 9 112 1
a 9 79 1
a 9 103 1
a 9 107 1
a 9 89 1
a 9 132 1
a 9 119 1
a 9 149 1
a 9 133 1
a 9 137 1
a 9 138 1
a 9 116 1
a 9 143 1
a 9 110 1
a 9 98 1
a 9 106 1
a 9 144 1
a 9 95 1
a 9 151 1
a 9 115 1
a 9 87 1
a 9 100 1
a 9 129 1
a 9 145 1
a 9 109 1
a 9 142 1
a 9 81 1
a 9 92 1
a 9 141 1
a 9 118 1
a 9 121 1
a 9 85 1
a 9 148 1
a 9 136 1
a 9 120 1
a 9 134 1
a 9 93 1
a 9 86 1
a 9 122 1
a 9 150 1
a 9 139 1
a 9 88 1
a 9 102 1
a 9 108 1
a 9 126 1
a 9 90 1
a 9 78 1
a 9 123 1
a 9 105 1
a 9 113 1
a 9 146 1
a 9 84 1
a 9 128 1
a 9 111 1
a 9 127 1
a 9 104 1
a 9 80 1
a 9 94 1
a 9 140 1
a 9 82 1
a 9 125 1
a 9 124 1
a 9 114 1
a 9 77 1
a 9 99 1
a 9 147 1
a 9 101 1
a 9 96 1
a 9 97 1
a 9 131 1
a 9 135 1
a 9 91 1
a 9 117 1
a 9 83 1
a 9 130 1
a 10 124 1
a 10 126 1
a 10 93 1
a 10 128 1
a 10 134 1
a 10 135 1
a 10 108 1
a 10 97 1
a 10 99 1
a 10 121 1
a 10 140 1
a 10 143 1
a 10 120 1
a 10 125 1
a 10 78 1
a 10 115 1
a 10 118 1
a 10 106 1
a 10 101 1
a 10 123 1
a 10 86 1
a 10 142 1
a 10 83 1
a 10 77 1
a 10 104 1
a 10 148 1
a 10 132 1
a 10 130 1
a 10 87 1
a 10 145 1
a 10 107 1
a 10 131 1
a 10 149 1
a 10 100 1
a 10 89 1
a 10 147 1
a 10 137 1
a 10 103 1
a 10 110 1
a 10 127 1
a 10 102 1
a 10 94 1
a 10 119 1
a 10 129 1
a 10 117 1
a 10 85 1
a 10 112 1
a 10 81 1
a 10 88 1
a 10 151 1
a 10 150 1
a 10 136 1
a 10 98 1
a 10 133 1
a 10 139 1
a 10 105 1
a 10 91 1
a 10 113 1
a 10 90 1
a 10 82 1
a 10 109 1
a 10 79 1
a 10 116 1
a 10 114 1
a 10 144 1
a 10 95 1
a 10 122 1
a 10 146 1
a 10 84 1
a 10 92 1
a 10 96 1
a 10 138 1
a 10 111 1
a 10 80 1
a 10 141 1
a 11 134 1
a 11 77 1
a 11 112 1
a 11 86 1
a 11 136 1
a 11 143 1
a 11 80 1
a 11 99 1
a 11 106 1
a 11 137 1
a 11 107 1
a 11 151 1
a 11 82 1
a 11 103 1
a 11 87 1
a 11 127 1
a 11 108 1
a 11 133 1
a 11 122 1
a 11 140 1
a 11 135 1
a 11 129 1
a 11 90 1
a 11 110 1
a 11 92 1
a 11 91 1
a 11 117 1
a 11 125 1
a 11 97 1
a 11 109 1
a 11 100 1
a 11 79 1
a 11 149 1
a 11 139 1
a 11 150 1
a 11 138 1
a 11 104 1
a 11 85 1
a 11 142 1
a 11 116 1
a 11 128 1
a 11 84 1
a 11 130 1
a 11 141 1
a 11 111 1
a 11 102 1
a 11 95 1
a 11 96 1
a 11 147 1
a 11 89 1
a 11 120 1
a 11 131 1
a 11 124 1
a 11 121 1
a 11 101 1
a 11 119 1
a 11 148 1
a 11 114 1
a 11 145 1
a 11 94 1
a 11 93 1
a 11 118 1
a 11 146 1
a 11 144 1
a 11 105 1
a 11 83 1
a 11 126 1
a 11 132 1
a 11 113 1
a 11 98 1
a 11 115 1
a 11 81 1
a 11 88 1
a 11 78 1
a 11 123 1
a 12 125 1
a 12 147 1
a 12 103 1
a 12 98 1
a 12 123 1
a 12 106 1
a 12 116 1
a 12 88 1
a 12 143 1
a 12 129 1
a 12 121 1
a 12 146 1
a 12 118 1
a 12 150 1
a 12 107 1
a 12 104 1
a 12 95 1
a 12 91 1
a 12 97 1
a 12 94 1
a 12 115 1
a 12 148 1
a 12 127 1
a 12 144 1
a 12 138 1
a 12 132 1
a 12 133 1
a 12 108 1
a 12 124 1
a 12 100 1
a 12 82 1
a 12 111 1
a 12 113 1
a 12 80 1
a 12 110 1
a 12 105 1
a 12 86 1
a 12 151 1
a 12 79 1
a 12 99 1
a 12 122 1
a 12 87 1
a 12 89 1
a 12 142 1
a 12 83 1
a 12 96 1
a 12 78 1
a 12 101 1
a 12 136 1
a 12 134 1
