c Square Mesh
c 11 x 11 vertices, 11 degree, range [0,11]
p max 123 1177
n 1 s
n 123 t
a 1 12 33
a 1 11 33
a 1 10 33
a 1 9 33
a 1 8 33
a 1 7 33
a 1 6 33
a 1 5 33
a 1 4 33
a 1 3 33
a 1 2 33
a 2 23 8
a 2 22 1
a 2 21 2
a 2 20 11
a 2 19 6
a 2 18 6
a 2 17 8
a 2 16 2
a 2 15 10
a 2 14 10
a 2 13 9
a 3 24 8
a 3 23 8
a 3 22 3
a 3 21 10
a 3 20 8
a 3 19 4
a 3 18 8
a 3 17 7
a 3 16 9
a 3 15 6
a 3 14 8
a 4 25 10
a 4 24 2
a 4 23 3
a 4 22 8
a 4 21 7
a 4 20 6
a 4 19 9
a 4 18 8
a 4 17 7
a 4 16 11
a 4 15 9
a 5 26 7
a 5 25 6
a 5 24 8
a 5 23 5
a 5 22 6
a 5 21 8
a 5 20 10
a 5 19 5
a 5 18 3
a 5 17 11
a 5 16 11
a 6 27 7
a 6 26 11
a 6 25 4
a 6 24 2
a 6 23 6
a 6 22 5
a 6 21 6
a 6 20 1
a 6 19 6
a 6 18 1
a 6 17 8
a 7 28 11
a 7 27 3
a 7 26 6
a 7 25 4
a 7 24 11
a 7 23 8
a 7 22 9
a 7 21 8
a 7 20 7
a 7 19 1
a 7 18 1
a 8 29 3
a 8 28 6
a 8 27 6
a 8 26 9
a 8 25 7
a 8 24 2
a 8 23 2
a 8 22 11
a 8 21 4
a 8 20 11
a 8 19 10
a 9 30 7
a 9 29 6
a 9 28 5
a 9 27 2
a 9 26 1
a 9 25 6
a 9 24 7
a 9 23 6
a 9 22 7
a 9 21 7
a 9 20 5
a 10 31 6
a 10 30 4
a 10 29 4
a 10 28 1
a 10 27 5
a 10 26 5
a 10 25 9
a 10 24 1
a 10 23 5
a 10 22 8
a 10 21 6
a 11 32 2
a 11 31 5
a 11 30 8
a 11 29 8
a 11 28 9
a 11 27 1
a 11 26 3
a 11 25 9
a 11 24 8
a 11 23 5
a 11 22 9
a 12 33 7
a 12 32 2
a 12 31 5
a 12 30 9
a 12 29 4
a 12 28 11
a 12 27 1
a 12 26 10
a 12 25 8
a 12 24 3
a 12 23 6
a 13 34 7
a 13 33 5
a 13 32 8
a 13 31 6
a 13 30 10
a 13 29 6
a 13 28 7
a 13 27 4
a 13 26 3
a 13 25 10
a 13 24 3
a 14 35 1
a 14 34 1
a 14 33 3
a 14 32 8
a 14 31 1
a 14 30 8
a 14 29 11
a 14 28 10
a 14 27 8
a 14 26 11
a 14 25 2
a 15 36 7
a 15 35 7
a 15 34 10
a 15 33 10
a 15 32 10
a 15 31 11
a 15 30 2
a 15 29 2
a 15 28 11
a 15 27 8
a 15 26 11
a 16 37 11
a 16 36 1
a 16 35 4
a 16 34 2
a 16 33 9
a 16 32 6
a 16 31 8
a 16 30 10
a 16 29 10
a 16 28 8
a 16 27 2
a 17 38 9
a 17 37 10
a 17 36 10
a 17 35 3
a 17 34 4
a 17 33 7
a 17 32 8
a 17 31 6
a 17 30 5
a 17 29 8
a 17 28 5
a 18 39 4
a 18 38 10
a 18 37 8
a 18 36 9
a 18 35 10
a 18 34 5
a 18 33 10
a 18 32 10
a 18 31 1
a 18 30 1
a 18 29 3
a 19 40 7
a 19 39 11
a 19 38 2
a 19 37 10
a 19 36 11
a 19 35 9
a 19 34 11
a 19 33 11
a 19 32 6
a 19 31 11
a 19 30 5
a 20 41 7
a 20 40 9
a 20 39 9
a 20 38 3
a 20 37 9
a 20 36 6
a 20 35 5
a 20 34 5
a 20 33 10
a 20 32 11
a 20 31 11
a 21 42 11
a 21 41 3
a 21 40 4
a 21 39 6
a 21 38 11
a 21 37 8
a 21 36 6
a 21 35 4
a 21 34 9
