c Basic Line Mesh
c 20 x 40 vertices, degree d, range [0,50]
p max 802 8445
n 1 s
n 802 t
a 1 41 1000
a 1 40 1000
a 1 39 1000
a 1 38 1000
a 1 37 1000
a 1 36 1000
a 1 35 1000
a 1 34 1000
a 1 33 1000
a 1 32 1000
a 1 31 1000
a 1 30 1000
a 1 29 1000
a 1 28 1000
a 1 27 1000
a 1 26 1000
a 1 25 1000
a 1 24 1000
a 1 23 1000
a 1 22 1000
a 1 21 1000
a 1 20 1000
a 1 19 1000
a 1 18 1000
a 1 17 1000
a 1 16 1000
a 1 15 1000
a 1 14 1000
a 1 13 1000
a 1 12 1000
a 1 11 1000
a 1 10 1000
a 1 9 1000
a 1 8 1000
a 1 7 1000
a 1 6 1000
a 1 5 1000
a 1 4 1000
a 1 3 1000
a 1 2 1000
a 2 256 9
a 2 667 5
a 2 336 3
a 2 706 1
a 2 302 7
a 2 774 9
a 2 719 3
a 2 385 11
a 2 295 16
a 2 156 17
a 2 607 19
a 2 394 10
a 2 494 2
a 2 148 4
a 2 467 20
a 2 503 18
a 2 337 18
a 2 470 3
a 2 44 5
a 3 516 18
a 3 781 8
a 3 274 12
a 3 749 8
a 3 390 11
a 3 310 7
a 3 708 5
a 3 643 2
a 3 545 11
a 3 86 11
a 3 122 13
a 3 630 12
a 3 443 15
a 3 312 16
a 3 760 8
a 3 88 16
a 3 627 17
a 3 397 2
a 3 374 11
a 3 733 7
a 4 472 10
a 4 132 10
a 4 423 5
a 4 58 9
a 4 739 5
a 4 286 4
a 4 489 19
a 4 26 17
a 4 601 20
a 4 296 10
a 4 355 1
a 4 46 12
a 4 488 16
a 4 542 17
a 4 364 10
a 4 767 15
a 4 596 14
a 4 418 18
a 4 427 11
a 4 593 2
a 4 226 8
a 4 214 4
a 4 388 9
a 4 292 14
a 5 148 3
a 5 439 6
a 5 368 3
a 5 652 4
a 5 334 16
a 5 61 10
a 5 278 2
a 5 640 9
a 5 208 2
a 5 197 10
a 5 196 4
a 5 185 11
a 5 44 1
a 5 298 13
a 5 544 16
a 5 478 10
a 5 15 13
a 5 586 17
a 5 624 18
a 5 529 20
a 5 349 2
a 5 491 12
a 5 708 3
a 6 270 5
a 6 678 7
a 6 121 14
a 6 462 11
a 6 289 16
a 6 495 2
a 6 112 10
a 6 293 3
a 6 423 17
a 6 200 5
a 6 536 2
a 6 694 3
a 6 286 7
a 6 430 19
a 6 146 2
a 6 67 17
a 6 152 14
a 6 556 6
a 6 562 13
a 6 699 9
a 6 375 13
a 6 161 14
a 6 176 6
a 6 624 16
a 6 292 14
a 7 633 12
a 7 535 14
a 7 107 16
a 7 488 11
a 7 676 11
a 7 278 15
a 7 185 14
a 7 305 1
a 7 78 8
a 7 167 1
a 7 380 5
a 7 422 7
a 7 485 3
a 7 210 3
a 7 795 13
a 7 26 12
a 7 176 6
a 7 30 14
a 7 482 6
a 7 321 13
a 7 657 4
a 7 753 2
a 7 162 2
a 7 32 13
a 7 447 4
