c Exponential Line
c 10 x 20 vertices, degree 20, range [0,20]
p max 202 1004
n 1 s
n 202 t
a 1 21 400
a 1 20 400
a 1 19 400
a 1 18 400
a 1 17 400
a 1 16 400
a 1 15 400
a 1 14 400
a 1 13 400
a 1 12 400
a 1 11 400
a 1 10 400
a 1 9 400
a 1 8 400
a 1 7 400
a 1 6 400
a 1 5 400
a 1 4 400
a 1 3 400
a 1 2 400
a 2 198 1774
a 2 94 14772
a 2 30 21727
a 2 84 5448
a 2 148 4272
a 2 108 19719
a 2 67 18717
a 2 165 1798
a 2 161 4571
a 2 127 293
a 2 103 154
a 2 70 3903
a 2 44 14605
a 3 48 779
a 3 72 27530
a 3 115 9742
a 3 77 8724
a 3 126 12860
a 3 71 20038
a 4 155 3133
a 4 69 19955
a 4 147 649
a 4 111 12624
a 4 195 100
a 5 64 5830
a 5 39 6271
a 5 147 3449
a 5 135 11300
a 5 88 28746
a 5 124 5022
a 5 129 6762
a 5 45 31674
a 5 150 2307
a 5 182 2260
a 5 172 2119
a 6 131 10384
a 6 148 4318
a 6 157 4476
a 6 59 15458
a 6 38 11338
a 6 62 18008
a 6 97 30192
a 6 119 31108
a 7 145 8397
a 7 32 4597
a 7 63 11021
a 7 199 1563
a 7 108 30837
a 7 21 10292
a 7 154 915
a 7 30 3603
a 7 196 136
a 7 166 4160
a 7 117 6484
a 7 153 5925
a 8 30 30304
a 8 92 22799
a 8 102 31557
a 8 137 895
a 8 76 5250
a 8 136 4976
a 8 197 1828
a 8 109 18936
a 8 27 7617
a 8 62 14310
a 8 93 9515
a 8 77 22814
a 8 157 6618
a 9 190 1769
a 9 10 28010
a 9 124 20799
a 9 133 3965
a 9 95 15282
a 9 199 1128
a 10 66 21882
a 10 99 1417
a 10 68 23845
a 10 201 613
a 10 190 2528
a 10 49 28434
a 10 149 3251
a 10 33 4887
a 10 83 26363
a 11 67 31427
a 11 201 1700
a 11 81 10286
a 11 122 24183
a 11 88 10586
a 11 111 5003
a 11 33 16424
a 12 73 17438
a 12 158 6926
a 12 162 4718
