c Double Exponential Line
c 10 x 20 vertices, degree 20, range [0,20]
p max 202 1052
n 1 s
n 202 t
a 1 21 400
a 1 20 400
a 1 19 400
a 1 18 400
a 1 17 400
a 1 16 400
a 1 15 400
a 1 14 400
a 1 13 400
a 1 12 400
a 1 11 400
a 1 10 400
a 1 9 400
a 1 8 400
a 1 7 400
a 1 6 400
a 1 5 400
a 1 4 400
a 1 3 400
a 1 2 400
a 2 194 665
a 2 93 293
a 2 36 154
a 2 131 3903
a 2 124 14605
a 2 107 1142
a 3 185 1853
a 3 97 15142
a 4 73 23806
a 4 167 105
a 4 14 22649
a 4 64 19265
a 5 4 5538
a 5 10 11324
a 5 193 1191
a 6 97 16513
a 6 40 5098
a 6 127 15574
a 6 107 26778
a 6 86 5830
a 7 161 2572
a 7 33 27754
a 7 81 12288
a 8 120 4042
a 8 197 254
a 8 159 6484
a 8 135 5924
a 9 114 6618
a 9 193 640
a 9 101 2422
a 9 6 17808
a 9 63 22484
a 9 53 24649
a 9 200 1223
a 9 172 3729
a 9 7 468
a 10 70 25201
a 10 181 3543
a 10 179 1692
a 10 109 29315
a 10 53 1588
a 10 185 3182
a 10 122 14344
a 10 17 3094
a 11 195 837
a 11 179 2635
a 11 42 16203
a 11 4 11512
a 11 58 19157
a 11 183 3359
a 11 166 4192
a 12 53 2511
a 12 21 2601
a 12 10 10713
a 12 64 5076
a 13 165 2744
a 13 107 21426
a 13 141 13068
a 13 195 416
a 13 16 31330
a 13 198 447
a 13 49 17190
a 14 128 16283
a 14 22 24489
a 14 163 482
a 14 52 28287
a 14 122 20417
a 14 143 3298
a 15 32 7130
a 15 137 4598
a 15 10 23197
a 15 102 4145
a 15 107 482
a 15 55 27983
a 16 182 2391
a 16 85 7392
a 16 138 2334
a 16 48 9906
a 16 41 18788
a 16 175 6207
a 17 115 29214
a 17 120 8481
a 17 26 3103
a 17 38 13986
a 18 19 8361
a 18 100 19188
a 18 183 89
a 18 182 1347
a 18 36 31287
a 19 142 6969
a 19 154 4679
a 19 92 22467
a 19 106 17372
a 19 14 26303
a 19 155 7034
a 20 85 3488
a 20 17 29566
a 20 49 17087
a 21 84 21521
a 21 66 21154
a 21 154 9923
a 21 187 2506
a 21 165 7336
a 21 115 29012
a 21 106 20327
a 22 48 14888
a 22 21 21114
a 22 157 5109
a 22 84 6478
a 22 173 2325
a 22 128 19358
a 23 169 5926
a 23 154 8245
a 23 137 23272
a 23 88 29338
a 23 45 13358
a 23 200 715
a 24 4 14370
a 24 184 5834
a 24 17 16973
a 24 124 6655
a 25 150 1774
a 25 140 23851
a 25 45 31784
a 25 80 15206
a 25 46 31935
a 25 185 1627
a 26 180 4801
a 26 190 3536
a 26 17 27612
a 27 141 2590
a 27 129 19498
a 27 55 19091
a 28 18 26130
a 28 84 29542
a 28 174 6468
a 28 96 31628
a 28 61 25562
a 28 24 29557
a 28 45 17550
a 29 92 23848
a 29 169 6288
a 29 99 24971
a 30 4 13649
a 30 51 13585
a 30 12 11248
a 30 40 21099
a 30 174 3611
a 30 25 304
a 30 133 1540
a 30 194 1070
a 31 93 25088
a 31 140 27153
a 31 116 24473
a 31 199 1603
a 32 172 14330
a 32 118 1759
a 32 148 21222
a 32 30 32061
a 32 168 609
a 32 18 11343
a 32 167 1589
a 33 46 4945
a 33 164 9142
a 33 162 1008
a 34 35 24430
a 34 197 2738
a 34 171 14607
a 35 189 4187
a 35 92 32638
a 35 22 2012
a 35 11 14626
a 35 180 2218
a 35 91 18231
a 36 27 29201
a 36 116 24029
a 36 102 27110
a 37 118 19009
a 37 91 20260
a 37 121 3879
a 37 113 19370
a 37 109 3832
a 37 129 6924
a 38 131 24938
a 38 120 25270
a 38 15 1516
a 38 4 6494
a 39 9 18116
a 39 93 6542
a 39 91 25952
a 39 164 14191
a 40 177 7243
a 40 36 11334
a 40 121 1072
a 40 150 21975
a 41 36 29088
a 41 145 28667
a 41 84 27727
a 41 51 7517
a 41 162 6817
a 42 149 4085
a 42 30 26810
a 42 165 8490
a 42 32 26631
a 42 115 21137
a 42 99 1013
a 42 90 23482
a 42 56 24308
a 42 181 658
a 42 89 5603
a 43 81 17660
a 43 62 10867
a 43 120 27919
a 43 157 26424
a 43 2 18239
a 43 110 7480
a 44 100 541
a 44 13 13883
a 44 14 20449
a 44 95 18353
a 44 102 20800
a 45 172 793
a 45 135 20676
a 45 89 1656
a 45 28 25163
a 46 201 7302
a 46 64 14334
a 46 149 28351
a 46 42 31924
a 46 121 331
a 46 131 17470
a 46 75 12550
a 46 8 30525
a 46 159 14162
a 46 24 28963
a 46 161 19558
a 47 5 9877
